Table 1
Aggregated engagement metrics for your organic and sponsored posts over time. Date indicates when your posts were viewed by LinkedIn members. Data is delayed by up to 2 days. All dates and times are in UTC.,,,,,,,,,,,,,,,,,,,
Date,Impressions (organic),Impressions (sponsored),Impressions (total),Unique impressions (organic),Clicks (organic),Clicks (sponsored),Clicks (total),Reactions (organic),Reactions (sponsored),Reactions (total),Comments (organic),Comments (sponsored),Comments (total),Reposts (organic),Reposts (sponsored),Reposts (total),Engagement rate (organic),Engagement rate (sponsored),Engagement rate (total)
09/01/2025,5708,90397,96105,2858,317,395,712,45,7,52,0,0,0,1,0,1,0.0635949544498949,0.00540947155325951,0.0088653035742157
09/02/2025,8230,82837,91067,3657,440,317,757,49,10,59,0,0,0,0,0,0,0.0594167679222357,0.00503398239916945,0.00994871907496678
09/03/2025,8822,89684,98506,3826,467,321,788,44,9,53,2,0,2,0,0,0,0.0581500793470868,0.00456045671468712,0.00935983594907924
09/04/2025,13522,72625,86147,5099,805,358,1163,198,8,206,2,0,2,1,0,1,0.0743972785090963,0.0060447504302926,0.016773654335032
09/05/2025,14256,67090,81346,5492,721,379,1100,147,2,149,3,2,5,0,0,0,0.0610970819304153,0.0065732598002683,0.0161286357042756
09/06/2025,7946,56896,64842,3650,421,295,716,71,7,78,0,0,0,0,0,0,0.0619179461364208,0.00599339145106862,0.0128466117639801
09/07/2025,5489,65288,70777,2529,384,259,643,39,4,43,1,0,1,0,0,0,0.0772453998906905,0.00479414287464771,0.0104129872698758
09/08/2025,15386,83116,98502,7609,660,289,949,222,5,227,7,0,7,0,0,0,0.0577797998180164,0.00418691948601954,0.0125581206472965
09/09/2025,23632,79637,103269,11230,1032,283,1315,292,4,296,5,0,5,0,0,0,0.0562373053486798,0.00439494204954983,0.0162585093300022
09/10/2025,17803,71398,89201,8210,1098,283,1381,175,8,183,3,0,3,1,0,1,0.071729483794866,0.00460797221210678,0.0180042824632011
09/11/2025,11488,62731,74219,5359,697,283,980,102,2,104,6,0,6,0,1,1,0.0700731197771588,0.00518085157258772,0.0152252118729705
09/12/2025,10724,58843,69567,5027,519,276,795,124,6,130,11,0,11,1,0,1,0.0610779559865722,0.00560814370443383,0.014159012175313
09/13/2025,7267,47903,55170,3672,320,235,555,56,5,61,0,0,0,0,0,0,0.0517407458373469,0.00582426987871323,0.0118723944172558
09/14/2025,5719,48805,54524,2878,286,235,521,37,4,41,2,0,2,1,0,1,0.0570029725476482,0.00581907591435304,0.0111877338419778
09/15/2025,13001,80909,93910,6024,589,278,867,150,5,155,5,0,5,3,0,3,0.0574571186831782,0.00444944320162157,0.0117878820146949
09/16/2025,14228,82780,97008,5666,536,308,844,193,3,196,6,0,6,7,0,7,0.052150688782682,0.00460256100507369,0.0115763648358898
09/17/2025,26678,68512,95190,11884,2112,297,2409,510,11,521,7,0,7,7,0,7,0.0988080065971962,0.00548808967772069,0.0316419791994957
09/18/2025,25423,70104,95527,12802,2058,279,2337,405,4,409,7,0,7,8,0,8,0.097470794162766,0.00507816957662901,0.0296670051399081
09/19/2025,13959,64978,78937,6396,1363,304,1667,204,10,214,6,0,6,2,0,2,0.112830431979368,0.00578657391732586,0.0247159126898666
09/20/2025,8180,54713,62893,3874,757,205,962,111,6,117,1,0,1,0,0,0,0.106234718826406,0.00460585235684389,0.0178239231711001
09/21/2025,5997,21866,27863,2764,389,72,461,55,2,57,0,0,0,0,0,0,0.0740370185092546,0.00448184395865728,0.0194523202813767
09/22/2025,10831,69412,80243,4767,482,249,731,130,3,133,2,0,2,2,0,2,0.0568737882005355,0.00485506828790411,0.0118764253579752
09/23/2025,12279,115419,127698,6366,347,412,759,83,16,99,1,0,1,3,0,3,0.0353448977929799,0.00444467548670496,0.00741593447039108
09/24/2025,11307,118075,129382,5751,375,399,774,73,11,84,1,0,1,1,0,1,0.0397983550013266,0.00426000423459665,0.00736578503965003
09/25/2025,10182,112272,122454,5138,459,419,878,52,3,55,5,0,5,1,0,1,0.0507758790021607,0.00468505059142084,0.00851748411648456
09/26/2025,12517,93766,106283,6003,593,456,1049,99,10,109,0,0,0,2,0,2,0.0554445953503236,0.00578034682080925,0.0116293292436232
09/27/2025,7967,75866,83833,4290,345,403,748,57,1,58,0,0,0,2,0,2,0.0507091753483118,0.00599741649750877,0.0102465616165472
09/28/2025,5363,45857,51220,3098,269,242,511,37,2,39,0,0,0,0,0,0,0.0570576170054074,0.00582244804500949,0.0111870363139399
09/29/2025,8111,135204,143315,4405,299,1205,1504,72,6,78,0,0,0,3,0,3,0.0461102206879546,0.00946717552735126,0.0115410110595541
09/30/2025,21184,138768,159952,11392,870,900,1770,460,9,469,4,0,4,5,0,5,0.063208081570997,0.00702611553095815,0.0144668400520156
10/01/2025,25959,117289,143248,13698,1051,741,1792,572,8,580,7,0,7,5,1,6,0.0629839362070958,0.00715327098022832,0.0172707472355635
10/02/2025,12083,108680,120763,6739,414,549,963,149,10,159,2,0,2,2,0,2,0.0469254324257221,0.00587964666912035,0.00998650248834494
10/03/2025,8148,96585,104733,4370,256,607,863,73,10,83,0,0,0,4,0,4,0.0408689248895434,0.0071025521561319,0.00972950264004659
10/04/2025,5380,78767,84147,2559,327,515,842,67,6,73,1,0,1,0,0,0,0.0734200743494424,0.00721114172178704,0.0114442582623266
10/05/2025,4770,80273,85043,2402,214,478,692,43,4,47,0,0,0,0,0,0,0.0538784067085954,0.00683916136185268,0.00947755841162706
10/06/2025,7028,91705,98733,3510,250,429,679,66,9,75,0,0,0,1,0,1,0.0451052931132612,0.00547407447794559,0.00829509890310231
10/07/2025,6780,82838,89618,3327,200,383,583,55,11,66,0,0,0,3,0,3,0.0380530973451327,0.00542021777445134,0.00788904014818452
10/08/2025,11936,78943,90879,5139,702,310,1012,123,2,125,10,0,10,0,0,0,0.0699564343163539,0.00448424812839644,0.0130833305824228
10/09/2025,14621,79794,94415,6367,659,377,1036,157,6,163,1,0,1,1,0,1,0.05594692565488,0.00562698949795724,0.0134194778372081
10/10/2025,11484,94618,106102,5322,632,404,1036,136,10,146,0,0,0,1,0,1,0.0669627307558342,0.00522099389122577,0.0119036398936872
10/11/2025,5710,81280,86990,2888,271,326,597,62,10,72,1,0,1,0,0,0,0.0584938704028021,0.00493356299212598,0.00844924703988964
10/12/2025,4750,66330,71080,2433,271,311,582,39,5,44,0,0,0,0,0,0,0.0652631578947368,0.00506558118498417,0.00908835115362971
10/13/2025,5532,84973,90505,2770,263,417,680,35,3,38,0,0,0,0,0,0,0.0538684020245842,0.00541348428324291,0.00837522788796199
10/14/2025,6909,101081,107990,3245,282,479,761,66,1,67,2,0,2,0,0,0,0.0506585612968592,0.00512460304112543,0.00803778127604408
10/15/2025,7835,93494,101329,3507,239,581,820,50,4,54,1,0,1,3,0,3,0.0373962986598596,0.00671700857809057,0.00908920447255968
10/16/2025,15968,109746,125714,7127,631,994,1625,272,3,275,5,0,5,1,0,1,0.0569263527054108,0.00969511417272611,0.0156943538508042
10/17/2025,10694,148880,159574,5579,266,1372,1638,133,4,137,0,0,0,1,0,1,0.0374041518608566,0.00971923696937131,0.0115745672853974
10/18/2025,4741,99717,104458,2454,95,1065,1160,57,0,57,0,0,0,0,0,0,0.0320607466779161,0.0115025522227905,0.0124356200578223
10/19/2025,4342,97571,101913,2203,105,1336,1441,33,2,35,0,0,0,0,0,0,0.0317825886688162,0.014676491990448,0.0154052966746146
10/20/2025,13597,107199,120796,7149,358,1658,2016,140,4,144,2,0,2,0,0,0,0.0367728175332794,0.0164367204917956,0.0187257856220405
10/21/2025,10728,97049,107777,5536,218,1642,1860,97,3,100,3,0,3,5,0,5,0.0301081282624907,0.0182072973446403,0.019391892518812
10/22/2025,19297,100359,119656,9675,939,1625,2564,262,4,266,3,1,4,4,0,4,0.062600404207908,0.0175370420191512,0.0248044393929264
10/23/2025,18703,112832,131535,8603,724,1447,2171,327,6,333,13,0,13,2,0,2,0.0569962038175694,0.0139676687464549,0.0200859086935036
10/24/2025,12279,106451,118730,5693,430,1490,1920,133,4,137,2,0,2,1,0,1,0.0460949588728724,0.0152464514189627,0.0184367893539965
10/25/2025,5525,88426,93951,2912,198,1468,1666,65,8,73,0,0,0,0,1,1,0.0476018099547511,0.0178793567502771,0.0196272525039648
10/26/2025,4057,85131,89188,2276,130,1657,1787,39,2,41,3,0,3,0,0,0,0.04239585900912,0.0206740200397035,0.0216621070099116
10/27/2025,8660,101183,109843,4071,163,1842,2005,87,4,91,6,0,6,0,0,0,0.0295612009237875,0.0195981538400719,0.0203836384658103
10/28/2025,17082,108884,125966,7904,469,1655,2124,267,5,272,6,0,6,1,0,1,0.0434960777426531,0.0163568568384703,0.0200371528825239
10/29/2025,12476,105299,117775,6277,359,1690,2049,169,4,173,7,0,7,1,0,1,0.0429624879769157,0.0173790824224352,0.0200891530460624
10/30/2025,10097,110974,121071,5304,287,1887,2174,107,4,111,7,0,7,3,0,3,0.0400118847182331,0.0178510281687603,0.0196991847758753
10/31/2025,8403,113152,121555,4232,255,1844,2099,90,7,97,0,0,0,2,0,2,0.041294775675354,0.0169683257918552,0.0186499938299535
11/01/2025,5265,122193,127458,2698,201,1572,1773,58,4,62,1,0,1,0,0,0,0.0493827160493827,0.0133886556513057,0.0148754883961776
11/02/2025,3715,117284,120999,2039,105,1509,1614,31,1,32,2,0,2,2,0,2,0.0376850605652759,0.0133351522799359,0.0140827610145538
11/03/2025,8452,141973,150425,4022,206,1928,2134,54,4,58,0,0,0,1,0,1,0.0308802650260293,0.0166862713332817,0.0174837959115838
11/04/2025,6847,146301,153148,3523,148,2043,2191,37,7,44,0,0,0,1,0,1,0.027165181831459,0.0177989214017676,0.0182176717946039
11/05/2025,10890,121039,131929,5156,470,2059,2529,157,10,167,8,0,8,1,0,1,0.0584022038567493,0.0219516023760937,0.0249603953641732
11/06/2025,14082,130926,145008,6250,540,1920,2460,154,15,169,8,0,8,5,0,5,0.0502059366567249,0.0235705665795946,0.0261571775350325
11/07/2025,11014,134251,145265,4728,342,2076,2418,145,8,153,5,0,5,3,0,3,0.0449428000726348,0.0192326314142911,0.0211819777647747
11/08/2025,5464,119620,125084,2658,182,1757,1939,43,9,52,1,0,1,0,1,1,0.0413616398243045,0.0230396254806888,0.0238399795337533
11/09/2025,4057,109790,113847,1996,159,1658,1817,20,10,30,1,0,1,0,0,0,0.0443677594281489,0.0288550869842426,0.0294078895359562
11/10/2025,7845,143258,151103,3357,166,2170,2336,61,20,81,2,0,2,4,0,4,0.0297004461440408,0.0341970430970696,0.0339635877514014
11/11/2025,10655,169479,180134,5058,3842,2424,6266,93,18,111,3,0,3,2,0,2,0.369779446269357,0.0247405283250432,0.0451497218737162
11/12/2025,8424,149951,158375,4052,2214,2337,4551,57,18,75,1,0,1,2,0,2,0.26994301994302,0.0275823435655648,0.0404735595895817
11/13/2025,9540,128335,137875,4182,616,2064,2680,74,9,83,3,0,3,1,0,1,0.0727463312368973,0.0298515603693459,0.0328195829555757
11/14/2025,8455,128785,137240,4250,579,1876,2455,94,15,109,2,0,2,3,0,3,0.0801892371377883,0.0359824513724424,0.0387059166423783
11/15/2025,3878,98252,102130,2045,293,1395,1688,35,9,44,0,0,0,0,0,0,0.0845796802475503,0.0364369173146603,0.0382649564280819
11/16/2025,3174,63424,66598,1535,176,932,1108,23,6,29,0,0,0,0,1,1,0.0626969124133585,0.0367053481331988,0.037944082404877
11/17/2025,9406,96256,105662,4803,363,1116,1479,89,19,108,2,0,2,0,0,0,0.0482670635764406,0.0394468916223404,0.0402320607219246
11/18/2025,25302,94813,120115,15287,1426,1213,2639,210,14,224,6,0,6,3,0,3,0.0650146233499328,0.042852773353865,0.0475211255879782
11/19/2025,12434,116348,128782,6246,837,1562,2399,139,17,156,3,0,3,0,0,0,0.0787357246260254,0.0416165297211813,0.0452004162072339
11/20/2025,10707,108591,119298,4989,472,1559,2031,108,13,121,0,0,0,0,0,0,0.0541701690482862,0.0355646416369681,0.0372344884239468
11/21/2025,8544,98805,107349,3814,454,1436,1890,81,8,89,2,0,2,0,0,0,0.0628511235955056,0.0441678052730125,0.0456548267799421
11/22/2025,4896,78920,83816,2395,276,1371,1647,31,6,37,0,0,0,1,0,1,0.0629084967320261,0.048137354282818,0.04900019089434
11/23/2025,4105,76167,80272,1958,258,1432,1690,18,12,30,1,0,1,1,0,1,0.0677222898903776,0.0534746018616986,0.0542032090890971
11/24/2025,11120,100130,111250,4864,582,2008,2590,134,9,143,2,0,2,0,0,0,0.064568345323741,0.0474682912214122,0.0491775280898876
11/25/2025,10086,111240,121326,4631,845,2187,3032,119,14,133,5,1,6,0,0,0,0.0960737656157049,0.0475278676734987,0.0515635560391013
11/26/2025,7346,126264,133610,3791,361,2912,3273,76,15,91,1,0,1,0,0,0,0.0596242853253471,0.0535227776721789,0.0538582441434024
11/27/2025,4420,120425,124845,2383,319,2425,2744,41,13,54,1,0,1,0,1,1,0.0816742081447964,0.0443014324268217,0.0456245744723457
11/28/2025,2784,116857,119641,1503,211,2326,2537,20,7,27,0,0,0,0,0,0,0.0829741379310345,0.0473056813027889,0.0481356725537232
11/29/2025,2433,91095,93528,1268,153,1927,2080,16,8,24,0,0,0,0,0,0,0.0694615700780929,0.0486634831769032,0.0492045162945856
11/30/2025,2267,93889,96156,1218,128,1998,2126,8,7,15,0,0,0,0,0,0,0.0599911777679753,0.0447869292462376,0.0451453887432922
12/01/2025,3874,99248,103122,1861,266,2457,2723,13,2,15,0,0,0,0,0,0,0.0720185854414042,0.0258040464291472,0.0275401951087062
12/02/2025,3141,100371,103512,1470,190,2931,3121,30,4,34,0,0,0,0,0,0,0.070041388092964,0.0304171523647269,0.0316195223742175
12/03/2025,5475,97786,103261,2305,266,2497,2763,46,2,48,2,0,2,1,0,1,0.0575342465753425,0.0263739185568486,0.0280260698618065
12/04/2025,8219,79262,87481,3650,395,2121,2516,84,2,86,2,0,2,0,0,0,0.0585229346635844,0.0274406399031062,0.0303608783621586
12/05/2025,6796,76710,83506,3181,418,2569,2987,57,1,58,2,0,2,1,0,1,0.070335491465568,0.0347673054360579,0.037661964409743
12/06/2025,4376,65621,69997,2180,236,2257,2493,18,3,21,2,0,2,0,0,0,0.0585009140767824,0.0357964675942153,0.0372158806806006
12/07/2025,2949,65575,68524,1467,210,1939,2149,8,2,10,0,0,0,0,0,0,0.0739233638521533,0.0307281738467404,0.0325871227599089
12/08/2025,3575,86887,90462,1593,148,1620,1768,17,1,18,0,0,0,0,0,0,0.0461538461538462,0.0200490291988445,0.0210806747584621
12/09/2025,17060,88311,105371,8511,946,1064,2010,274,2,276,2,0,2,1,0,1,0.0716881594372802,0.012931571378424,0.0224445056040087
12/10/2025,14115,65849,79964,7596,815,1085,1900,182,2,184,4,0,4,0,0,0,0.0709174636911088,0.0172819632796246,0.0267495372917813
12/11/2025,14195,53168,67363,6454,660,1000,1660,136,0,136,7,1,8,2,0,2,0.0567101091933779,0.0190904303340355,0.0270177990885204
12/12/2025,9077,46761,55838,4848,283,990,1273,88,0,88,2,0,2,1,0,1,0.0412030406521979,0.0212356450888561,0.0244815358716286
12/13/2025,5612,58913,64525,2861,167,822,989,40,1,41,0,0,0,0,0,0,0.0368852459016393,0.0140037003717346,0.0159938008523828
12/14/2025,4114,71178,75292,2176,135,876,1011,27,0,27,2,0,2,1,0,1,0.0401069518716578,0.0124055185591053,0.013919141475854
12/15/2025,6064,95738,101802,3063,204,940,1144,40,0,40,0,0,0,0,0,0,0.0402374670184697,0.00997514048758069,0.0117777646804581
12/16/2025,6500,96401,102901,3089,299,1033,1332,37,4,41,0,0,0,2,0,2,0.052,0.0109646165496209,0.0135567195654075
12/17/2025,9369,49427,58796,5082,289,604,893,45,1,46,8,0,8,0,0,0,0.0365033621517771,0.0124628239626115,0.016293625416695
12/18/2025,6181,0,6181,3984,184,0,184,36,0,36,1,0,1,-1,0,-1,0.0355929461252225,0,0.0355929461252225
12/19/2025,3479,0,3479,1926,97,0,97,15,0,15,0,0,0,1,0,1,0.032480597872952,0,0.032480597872952
12/20/2025,3768,0,3768,1967,99,0,99,23,0,23,0,0,0,0,0,0,0.0323779193205945,0,0.0323779193205945
12/21/2025,2693,0,2693,1441,95,0,95,19,0,19,0,0,0,0,0,0,0.0423319717786855,0,0.0423319717786855
12/22/2025,7289,0,7289,3369,253,0,253,51,0,51,1,0,1,-1,0,-1,0.0417066813005899,0,0.0417066813005899
12/23/2025,6164,0,6164,2933,220,0,220,74,0,74,0,0,0,1,0,1,0.0478585334198572,0,0.0478585334198572
12/24/2025,2384,0,2384,1336,86,0,86,27,0,27,0,0,0,0,0,0,0.0473993288590604,0,0.0473993288590604
12/25/2025,2394,0,2394,1233,120,0,120,17,0,17,0,0,0,0,0,0,0.0572263993316625,0,0.0572263993316625
12/26/2025,2837,0,2837,1530,134,0,134,15,0,15,0,0,0,0,0,0,0.0525202678886147,0,0.0525202678886147
12/27/2025,2261,0,2261,1149,108,0,108,13,0,13,0,0,0,0,0,0,0.053516143299425,0,0.053516143299425
12/28/2025,2355,0,2355,1210,105,0,105,17,0,17,0,0,0,0,0,0,0.0518046709129512,0,0.0518046709129512
12/29/2025,2317,0,2317,1051,87,0,87,8,0,8,0,0,0,0,0,0,0.0410012947777298,0,0.0410012947777298
12/30/2025,7947,0,7947,4343,636,0,636,91,0,91,4,0,4,0,0,0,0.0919843966276582,0,0.0919843966276582
12/31/2025,5942,0,5942,3576,404,0,404,65,0,65,1,0,1,1,0,1,0.0792662403231235,0,0.0792662403231235
01/01/2026,2637,0,2637,1383,141,0,141,24,0,24,1,0,1,0,0,0,0.0629503223359879,0,0.0629503223359879
01/02/2026,3231,0,3231,1726,144,0,144,22,0,22,0,0,0,0,0,0,0.0513772825750542,0,0.0513772825750542
01/03/2026,2223,0,2223,1202,135,0,135,7,0,7,0,0,0,0,0,0,0.0638776428250113,0,0.0638776428250113
01/04/2026,2161,0,2161,1150,97,0,97,12,0,12,0,0,0,0,0,0,0.0504396112910689,0,0.0504396112910689
01/05/2026,2740,81331,84071,1375,107,617,724,12,2,14,0,0,0,0,0,0,0.0434306569343066,0.00893878103060334,0.0100629230055548
01/06/2026,7418,94880,102298,3610,339,705,1044,86,9,95,1,0,1,0,0,0,0.057427878134268,0.00886382799325464,0.0123853838784727
01/07/2026,7269,93361,100630,3698,314,698,1012,87,2,89,5,0,5,1,0,1,0.0559911954876874,0.00886879960583113,0.0122726821027527
01/08/2026,7836,87706,95542,3478,241,708,949,60,6,66,1,0,1,2,1,3,0.038795303726391,0.00906437415912252,0.0115027945824873
01/09/2026,10529,85890,96419,5372,524,679,1203,130,2,132,5,0,5,1,0,1,0.0626840155760281,0.0092210967516591,0.0150592725500161
01/10/2026,6981,79255,86236,3951,460,638,1098,106,6,112,4,0,4,1,0,1,0.0817934393353388,0.00931171534918932,0.0151792754765991
01/11/2026,4120,76959,81079,2267,210,597,807,52,0,52,0,0,0,0,0,0,0.0635922330097087,0.00873192219233618,0.0115196290038111
01/12/2026,4739,84168,88907,2641,169,685,854,52,1,53,2,0,2,1,0,1,0.0472673559822747,0.00897015492823876,0.0110115064055699
01/13/2026,3502,81447,84949,1957,121,727,848,27,3,30,2,0,2,0,0,0,0.0428326670474015,0.0103134553758886,0.011654051254282
01/14/2026,6485,82534,89019,3641,200,673,873,53,5,58,2,0,2,0,0,0,0.0393215111796453,0.00960816148496377,0.0117727676114088
01/15/2026,6838,82339,89177,3553,172,706,878,65,6,71,3,0,3,1,0,1,0.0352442234571512,0.00982523470044572,0.0117743364320396
01/16/2026,3197,72512,75709,1776,101,636,737,21,3,24,8,0,8,0,0,0,0.0406631216765718,0.00980527360988526,0.0111083226564873
01/17/2026,1562,64714,66276,914,83,522,605,12,4,16,1,0,1,0,0,0,0.0614596670934699,0.00976604753221869,0.0109843683988171
01/18/2026,1385,63403,64788,855,46,482,528,9,1,10,0,0,0,0,0,0,0.0397111913357401,0.00878507326151759,0.0094461937395814
01/19/2026,1600,78209,79809,942,59,642,701,15,2,17,0,0,0,0,0,0,0.04625,0.0098198417061975,0.0105501885752233
01/20/2026,10922,72252,83174,5989,339,555,894,187,5,192,5,0,5,1,0,1,0.0487090276506134,0.00910701433870343,0.0143073556640296
01/21/2026,9397,76427,85824,5570,292,661,953,153,2,155,3,0,3,1,0,1,0.0477812067681175,0.0100095515982572,0.0141452274422073
01/22/2026,7096,49280,56376,3671,172,467,639,72,6,78,0,0,0,1,0,1,0.0345264937993236,0.0118912337662338,0.0147403150276713
01/23/2026,5078,14994,20072,2732,112,158,270,45,2,47,1,0,1,0,0,0,0.031114612051989,0.0156729358410031,0.0195795137504982
01/24/2026,3847,14396,18243,2106,89,192,281,31,2,33,1,0,1,1,1,2,0.0317130231349103,0.0171575437621562,0.0202269363591515
01/25/2026,2651,11983,14634,1536,92,169,261,15,3,18,1,0,1,0,0,0,0.040739343643908,0.0208628890928816,0.024463577969113
01/26/2026,5419,17486,22905,2437,132,201,333,29,2,31,0,0,0,1,0,1,0.0298948145414283,0.018757863433604,0.0213927090154988
01/27/2026,4751,22313,27064,2208,94,296,390,38,10,48,0,0,0,5,0,5,0.0288360345190486,0.01774750145655,0.0196940585279338
01/28/2026,11588,19879,31467,6063,416,238,654,162,9,171,3,0,3,2,0,2,0.0503106662064204,0.0153931284269832,0.0282518193663203
01/29/2026,6629,18370,24999,3931,252,245,497,88,9,97,0,0,0,2,0,2,0.0515914919294011,0.0181818181818182,0.0270410816432657
01/30/2026,4487,17648,22135,2431,162,243,405,59,10,69,1,0,1,2,0,2,0.0499219968798752,0.0220421577515866,0.0276936977637226
01/31/2026,2781,19965,22746,1714,109,167,276,29,1,30,1,0,1,0,0,0,0.0499820208558073,0.0114700726270974,0.0161786687769278
02/01/2026,2072,15695,17767,1236,61,153,214,22,4,26,0,0,0,0,0,0,0.0400579150579151,0.0158649251353934,0.0186863285867057
02/02/2026,4016,23505,27521,2065,105,282,387,29,10,39,0,0,0,1,0,1,0.0336155378486056,0.01914486279515,0.0212564950401512
02/03/2026,8242,48156,56398,3553,243,534,777,81,4,85,7,0,7,3,0,3,0.040524144625091,0.0132486086884293,0.0172346537111245
02/04/2026,14218,66545,80763,6682,444,686,1130,192,10,202,1,0,1,2,0,2,0.04494302996202,0.0122623788413855,0.0180156754949668
02/05/2026,13977,83688,97665,6780,631,1205,1836,141,9,150,3,0,3,3,0,3,0.0556628747227588,0.0158087180957843,0.0215123124968003
02/06/2026,9407,96334,105741,4902,576,1309,1885,110,16,126,3,0,3,1,0,1,0.0733496332518337,0.0155085431934727,0.0206542400771697
02/07/2026,3976,64050,68026,2080,181,1086,1267,50,3,53,0,0,0,0,0,0,0.0580985915492958,0.0183606557377049,0.0206832681621733
02/08/2026,3499,85151,88650,1933,132,1256,1388,35,3,38,2,0,2,0,0,0,0.0482995141468991,0.0156075677326162,0.016897913141568
02/09/2026,3371,78002,81373,1781,92,1098,1190,20,9,29,0,0,0,0,0,0,0.0332245624443785,0.0156278044152714,0.0163567768178634
02/10/2026,4592,65508,70100,2242,148,1025,1173,45,10,55,2,0,2,4,0,4,0.0433362369337979,0.0175245771508823,0.0192154065620542
02/11/2026,5578,143389,148967,2793,149,1222,1371,61,28,89,2,0,2,0,1,1,0.0380064539261384,0.00982641625229271,0.0108816046506944
02/12/2026,5280,76939,82219,2343,102,1259,1361,52,6,58,1,0,1,2,0,2,0.0297348484848485,0.017598357140072,0.0183777472360403
02/13/2026,6784,64766,71550,2838,364,995,1359,70,12,82,2,0,2,0,1,1,0.0642688679245283,0.0170923015162277,0.0215653389238295
02/14/2026,5782,63272,69054,2775,436,1018,1454,75,10,85,5,0,5,0,0,0,0.0892424766516776,0.0174168668605386,0.0234309381064095
02/15/2026,4133,60033,64166,2203,172,986,1158,46,6,52,1,0,1,1,0,1,0.0532300992015485,0.0185231456032515,0.0207586572328024
02/16/2026,2981,82689,85670,1553,91,1210,1301,22,14,36,1,0,1,0,0,0,0.0382422006038242,0.0164229825006954,0.0171822108089179
02/17/2026,6876,71950,78826,3126,153,1341,1494,80,9,89,3,0,3,3,0,3,0.0347585805700989,0.0200694927032662,0.021350823332403
02/18/2026,10130,65909,76039,4863,288,1228,1516,137,4,141,0,0,0,0,0,0,0.0419545903257651,0.0205586490464125,0.0234090400978445
02/19/2026,7538,96028,103566,3307,239,1185,1424,100,17,117,3,0,3,1,0,1,0.0455027858848501,0.0144853584371225,0.0167429465268524
02/20/2026,7861,81729,89590,2799,196,1006,1202,56,9,65,1,0,1,4,0,4,0.0326930415977611,0.0144869018341103,0.0160843844179038
02/21/2026,4126,67013,71139,2029,143,969,1112,41,6,47,0,0,0,2,0,2,0.045079980610761,0.0161013534687299,0.0177820885871322
02/22/2026,3754,68584,72338,1861,119,1001,1120,36,17,53,0,0,0,0,1,1,0.0412892914224827,0.0163303394377697,0.0176255909756974
02/23/2026,5216,62187,67403,2452,116,1109,1225,30,4,34,0,0,0,1,0,1,0.0281825153374233,0.0195217649991156,0.0201919795854784
02/24/2026,11055,58603,69658,5072,535,1298,1833,98,4,102,3,0,3,0,0,0,0.0575305291723202,0.0240772656689931,0.0293864308478567
02/25/2026,16376,64791,81167,7915,585,1134,1719,173,14,187,7,0,7,3,0,3,0.0468978993649243,0.0204349369511198,0.0257740214619242
02/26/2026,12114,55376,67490,6390,403,953,1356,97,6,103,1,0,1,1,0,1,0.0414396565956744,0.0194127419820861,0.0233664246555045
02/27/2026,11319,49469,60788,4891,485,857,1342,112,5,117,5,0,5,4,0,4,0.0535382984362576,0.0183347146697932,0.0248897808778048
02/28/2026,6672,37323,43995,3230,250,755,1005,63,4,67,1,0,1,2,0,2,0.0473621103117506,0.0215952629745733,0.0255028980565973
