Table 1
Aggregated engagement metrics for your organic and sponsored posts over time. Date indicates when your posts were viewed by LinkedIn members. Data is delayed by up to 2 days. All dates and times are in UTC.,,,,,,,,,,,,,,,,,,,
Date,Impressions (organic),Impressions (sponsored),Impressions (total),Unique impressions (organic),Clicks (organic),Clicks (sponsored),Clicks (total),Reactions (organic),Reactions (sponsored),Reactions (total),Comments (organic),Comments (sponsored),Comments (total),Reposts (organic),Reposts (sponsored),Reposts (total),Engagement rate (organic),Engagement rate (sponsored),Engagement rate (total)
04/06/2025,3063,72779,75842,1587,195,514,709,26,20,46,0,0,0,0,0,0,0.0721514854717597,0.00840901908517567,0.0109833601434561
04/07/2025,3796,105911,109707,1950,182,550,732,41,22,63,0,0,0,0,0,0,0.0587460484720759,0.00665653237151948,0.0084588950568332
04/08/2025,13163,93520,106683,7421,661,456,1117,322,24,346,4,0,4,1,0,1,0.0750588771556636,0.00642643284858854,0.0148945942652531
04/09/2025,10465,87390,97855,5842,657,455,1112,158,22,180,3,0,3,0,0,0,0.0781653129479216,0.00698020368463211,0.0145930202851157
04/10/2025,7643,78153,85796,3729,241,450,691,92,22,114,2,0,2,0,0,0,0.0438309564307209,0.00765165764589971,0.0108746328500163
04/11/2025,12371,79383,91754,5784,393,436,829,104,29,133,4,0,4,0,0,0,0.0404979387276695,0.00753309902623988,0.0119776794472176
04/12/2025,8617,15634,24251,4404,269,129,398,76,3,79,1,0,1,1,0,1,0.0402692352326796,0.00978636305488039,0.0206177064863305
04/13/2025,5172,45922,51094,2765,145,454,599,28,11,39,1,0,1,0,0,0,0.0336426914153132,0.0121728147728757,0.0143461071750108
04/14/2025,9171,100408,109579,5542,367,476,843,386,19,405,13,0,13,1,0,1,0.0836331915821612,0.00597561947255199,0.0124750180235264
04/15/2025,12371,97445,109816,7203,490,433,923,147,17,164,6,0,6,0,0,0,0.0519763964109611,0.00571604494843245,0.0109273694179355
04/16/2025,9636,82240,91876,5503,473,421,894,95,17,112,4,0,4,2,0,2,0.0595682855956829,0.00700389105058366,0.0125168705646741
04/17/2025,7586,78298,85884,3807,316,386,702,61,24,85,2,1,3,0,2,2,0.0499604534669127,0.00682009757592787,0.0106306180429416
04/18/2025,7596,69491,77087,3642,247,372,619,65,13,78,2,1,3,1,0,1,0.0414691943127962,0.00723834741189507,0.0106113871340174
04/19/2025,5041,62342,67383,2489,186,416,602,49,8,57,0,0,0,0,0,0,0.0466177345764729,0.00785986975072984,0.0107593903506819
04/20/2025,5521,59355,64876,2735,195,341,536,41,9,50,0,0,0,1,0,1,0.042927005977178,0.00724454553112627,0.0102811517356187
04/21/2025,13660,90140,103800,7374,448,466,914,229,17,246,1,0,1,2,0,2,0.0497803806734993,0.00650099844686044,0.0121965317919075
04/22/2025,10153,70215,80368,5212,263,386,649,103,21,124,1,0,1,0,0,0,0.0361469516399094,0.00751976073488571,0.0111362731435397
04/23/2025,13820,82787,96607,6193,577,393,970,125,25,150,7,0,7,0,1,1,0.0513024602026049,0.00731998985347941,0.0136118500729761
04/24/2025,9827,80588,90415,4841,371,396,767,154,28,182,2,0,2,0,1,1,0.0536277602523659,0.00719710130540527,0.012243543659791
04/25/2025,6751,81154,87905,3560,245,362,607,55,22,77,2,0,2,0,2,2,0.0447341134646719,0.00630899277916061,0.00925999658722484
